Equipment_ID,Plant_ID,Equipment_Type,Average_Performance_Ratio,Average_Inverter_Efficiency,Average_Capacity_Factor,Fault_Count,Performance_Score,Risk_Level
EQ-00025,1,Inverter,0.825,0.95,0.115,3,58.18,Watchlist
EQ-00026,1,Transformer,0.766,0.905,0.219,6,55.33,Watchlist
EQ-00027,1,Transformer,0.886,0.966,0.261,9,60.7,Watchlist
EQ-00028,2,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00029,2,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00030,2,Inverter,0.825,0.95,0.115,2,58.67,Watchlist
EQ-00031,2,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00032,2,Inverter,0.825,0.95,0.115,3,58.17,Watchlist
EQ-00033,2,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00034,2,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00035,2,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00036,2,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00037,2,Inverter,0.825,0.95,0.116,1,59.2,Watchlist
EQ-00038,2,Inverter,0.825,0.95,0.115,4,57.67,Watchlist
EQ-00039,2,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00040,2,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00041,2,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00042,2,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00043,2,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00044,2,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00045,2,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00046,2,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00047,2,Inverter,0.825,0.95,0.116,1,59.2,Watchlist
EQ-00048,2,Inverter,0.825,0.95,0.117,5,57.21,Watchlist
EQ-00049,2,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00050,2,Inverter,0.825,0.95,0.115,8,55.69,Watchlist
EQ-00051,2,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00052,2,Inverter,0.825,0.95,0.116,1,59.21,Watchlist
EQ-00053,2,Transformer,0.721,0.912,0.345,13,52.97,Critical
EQ-00054,2,Transformer,0.703,0.967,0.155,2,55.73,Watchlist
EQ-00055,3,Inverter,0.825,0.95,0.115,3,58.16,Watchlist
EQ-00056,3,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00057,3,Inverter,0.825,0.95,0.117,2,58.71,Watchlist
EQ-00058,3,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00059,3,Inverter,0.825,0.95,0.115,2,58.68,Watchlist
EQ-00060,3,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00061,3,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00062,3,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00063,3,Inverter,0.825,0.95,0.116,10,54.7,Critical
EQ-00064,3,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00065,3,Inverter,0.825,0.95,0.117,5,57.21,Watchlist
EQ-00066,3,Inverter,0.825,0.95,0.115,4,57.68,Watchlist
EQ-00067,3,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00068,3,Inverter,0.826,0.95,0.116,6,56.73,Watchlist
EQ-00069,3,Inverter,0.825,0.95,0.115,5,57.19,Watchlist
EQ-00070,3,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00071,3,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00072,3,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00073,3,Inverter,0.825,0.95,0.115,8,55.67,Watchlist
EQ-00074,3,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00075,3,Inverter,0.825,0.95,0.117,1,59.21,Watchlist
EQ-00076,3,Inverter,0.825,0.95,0.115,5,57.2,Watchlist
EQ-00077,3,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00078,3,Inverter,0.825,0.95,0.115,3,58.18,Watchlist
EQ-00079,3,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00080,3,Transformer,0.886,0.967,0.248,7,61.48,Watchlist
EQ-00081,3,Transformer,0.821,0.969,0.28,6,60.42,Watchlist
EQ-00082,4,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00083,4,Inverter,0.825,0.95,0.116,9,55.19,Watchlist
EQ-00084,4,Inverter,0.825,0.95,0.116,11,54.19,Critical
EQ-00085,4,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00086,4,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00087,4,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00088,4,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00089,4,Inverter,0.825,0.95,0.117,8,55.72,Watchlist
EQ-00090,4,Inverter,0.825,0.95,0.116,7,56.22,Watchlist
EQ-00091,4,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00092,4,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00093,4,Inverter,0.825,0.95,0.117,4,57.72,Watchlist
EQ-00094,4,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00095,4,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00096,4,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00097,4,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00098,4,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00099,4,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00100,4,Inverter,0.825,0.95,0.116,10,54.71,Critical
EQ-00101,4,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00102,4,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00103,4,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00104,4,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00105,4,Inverter,0.825,0.95,0.115,2,58.69,Watchlist
EQ-00106,4,Inverter,0.824,0.95,0.116,5,57.18,Watchlist
EQ-00107,4,Transformer,0.74,0.933,0.279,9,54.99,Critical
EQ-00108,4,Transformer,0.767,0.977,0.18,3,58.26,Watchlist
EQ-00109,5,Inverter,0.825,0.95,0.116,11,54.19,Critical
EQ-00110,5,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00111,5,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00112,5,Inverter,0.825,0.95,0.115,7,56.18,Watchlist
EQ-00113,5,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00114,5,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00115,5,Inverter,0.825,0.95,0.116,3,58.21,Watchlist
EQ-00116,5,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00117,5,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00118,5,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00119,5,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00120,5,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00121,5,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00122,5,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00123,5,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00124,5,Inverter,0.825,0.95,0.116,13,53.2,Critical
EQ-00125,5,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00126,5,Inverter,0.825,0.95,0.117,4,57.71,Watchlist
EQ-00127,5,Inverter,0.825,0.95,0.116,9,55.18,Watchlist
EQ-00128,5,Inverter,0.825,0.95,0.116,2,58.69,Watchlist
EQ-00129,5,Inverter,0.825,0.95,0.115,3,58.2,Watchlist
EQ-00130,5,Inverter,0.825,0.95,0.116,2,58.69,Watchlist
EQ-00131,5,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00132,5,Inverter,0.825,0.95,0.115,3,58.17,Watchlist
EQ-00133,5,Inverter,0.825,0.95,0.115,6,56.67,Watchlist
EQ-00134,5,Transformer,0.899,0.911,0.333,7,61.96,Watchlist
EQ-00135,5,Transformer,0.927,0.947,0.33,5,64.97,Watchlist
EQ-00136,6,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00137,6,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00138,6,Inverter,0.826,0.95,0.115,3,58.21,Watchlist
EQ-00139,6,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00140,6,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00141,6,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00142,6,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00143,6,Inverter,0.825,0.95,0.116,9,55.22,Watchlist
EQ-00144,6,Inverter,0.825,0.95,0.116,3,58.21,Watchlist
EQ-00145,6,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00146,6,Inverter,0.825,0.95,0.117,5,57.2,Watchlist
EQ-00147,6,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00148,6,Inverter,0.825,0.95,0.116,8,55.71,Watchlist
EQ-00149,6,Inverter,0.825,0.95,0.115,4,57.68,Watchlist
EQ-00150,6,Inverter,0.825,0.95,0.116,1,59.21,Watchlist
EQ-00151,6,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00152,6,Inverter,0.824,0.95,0.116,4,57.67,Watchlist
EQ-00153,6,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00154,6,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00155,6,Inverter,0.825,0.95,0.116,5,57.22,Watchlist
EQ-00156,6,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00157,6,Inverter,0.825,0.95,0.116,11,54.19,Critical
EQ-00158,6,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00159,6,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00160,6,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00161,6,Transformer,0.764,0.919,0.157,10,52.42,Critical
EQ-00162,6,Transformer,0.841,0.952,0.332,8,60.66,Watchlist
EQ-00163,7,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00164,7,Inverter,0.825,0.95,0.116,1,59.19,Watchlist
EQ-00165,7,Inverter,0.824,0.95,0.116,5,57.17,Watchlist
EQ-00166,7,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00167,7,Inverter,0.825,0.95,0.116,14,52.71,Critical
EQ-00168,7,Inverter,0.825,0.95,0.116,1,59.19,Watchlist
EQ-00169,7,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00170,7,Inverter,0.825,0.95,0.117,6,56.71,Watchlist
EQ-00171,7,Inverter,0.825,0.95,0.115,7,56.18,Watchlist
EQ-00172,7,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00173,7,Inverter,0.825,0.95,0.115,2,58.69,Watchlist
EQ-00174,7,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00175,7,Inverter,0.825,0.95,0.116,9,55.19,Watchlist
EQ-00176,7,Inverter,0.825,0.95,0.116,7,56.18,Watchlist
EQ-00177,7,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00178,7,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00179,7,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00180,7,Inverter,0.825,0.95,0.115,5,57.19,Watchlist
EQ-00181,7,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00182,7,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00183,7,Inverter,0.825,0.95,0.115,6,56.69,Watchlist
EQ-00184,7,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00185,7,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00186,7,Inverter,0.825,0.95,0.115,6,56.67,Watchlist
EQ-00187,7,Inverter,0.825,0.95,0.116,1,59.2,Watchlist
EQ-00188,7,Transformer,0.886,0.94,0.259,5,61.9,Watchlist
EQ-00189,7,Transformer,0.745,0.937,0.273,4,57.66,Watchlist
EQ-00190,8,Inverter,0.825,0.95,0.116,2,58.67,Watchlist
EQ-00191,8,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00192,8,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00193,8,Inverter,0.825,0.95,0.116,2,58.68,Watchlist
EQ-00194,8,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00195,8,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00196,8,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00197,8,Inverter,0.825,0.95,0.116,4,57.72,Watchlist
EQ-00198,8,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00199,8,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00200,8,Inverter,0.825,0.95,0.115,6,56.67,Watchlist
EQ-00201,8,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00202,8,Inverter,0.825,0.95,0.115,3,58.18,Watchlist
EQ-00203,8,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00204,8,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00205,8,Inverter,0.825,0.95,0.116,9,55.21,Watchlist
EQ-00206,8,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00207,8,Inverter,0.825,0.95,0.115,7,56.16,Watchlist
EQ-00208,8,Inverter,0.825,0.95,0.116,1,59.19,Watchlist
EQ-00209,8,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00210,8,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00211,8,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00212,8,Inverter,0.825,0.95,0.115,6,56.67,Watchlist
EQ-00213,8,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00214,8,Inverter,0.825,0.95,0.116,10,54.7,Critical
EQ-00215,8,Transformer,0.927,0.976,0.239,9,62.02,Watchlist
EQ-00216,8,Transformer,0.725,0.907,0.25,6,54.56,Critical
EQ-00217,9,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00218,9,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00219,9,Inverter,0.825,0.95,0.115,3,58.17,Watchlist
EQ-00220,9,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00221,9,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00222,9,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00223,9,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00224,9,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00225,9,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00226,9,Inverter,0.825,0.95,0.117,6,56.71,Watchlist
EQ-00227,9,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00228,9,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00229,9,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00230,9,Inverter,0.825,0.95,0.116,6,56.72,Watchlist
EQ-00231,9,Inverter,0.825,0.95,0.117,7,56.21,Watchlist
EQ-00232,9,Inverter,0.825,0.95,0.115,5,57.17,Watchlist
EQ-00233,9,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00234,9,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00235,9,Inverter,0.825,0.95,0.117,4,57.7,Watchlist
EQ-00236,9,Inverter,0.825,0.95,0.117,4,57.71,Watchlist
EQ-00237,9,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00238,9,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00239,9,Inverter,0.825,0.95,0.115,2,58.68,Watchlist
EQ-00240,9,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00241,9,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00242,9,Transformer,0.805,0.902,0.186,8,54.96,Critical
EQ-00243,9,Transformer,0.718,0.924,0.321,4,57.28,Watchlist
EQ-00244,10,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00245,10,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00246,10,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00247,10,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00248,10,Inverter,0.825,0.95,0.117,7,56.2,Watchlist
EQ-00249,10,Inverter,0.825,0.95,0.115,6,56.69,Watchlist
EQ-00250,10,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00251,10,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00252,10,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00253,10,Inverter,0.825,0.95,0.117,5,57.2,Watchlist
EQ-00254,10,Inverter,0.825,0.95,0.117,9,55.21,Watchlist
EQ-00255,10,Inverter,0.825,0.95,0.117,6,56.73,Watchlist
EQ-00256,10,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00257,10,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00258,10,Inverter,0.825,0.95,0.115,2,58.68,Watchlist
EQ-00259,10,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00260,10,Inverter,0.825,0.95,0.115,2,58.69,Watchlist
EQ-00261,10,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00262,10,Inverter,0.825,0.95,0.116,2,58.67,Watchlist
EQ-00263,10,Inverter,0.825,0.95,0.116,2,58.69,Watchlist
EQ-00264,10,Inverter,0.825,0.95,0.116,8,55.71,Watchlist
EQ-00265,10,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00266,10,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00267,10,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00268,10,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00269,10,Transformer,0.74,0.912,0.299,2,58.24,Watchlist
EQ-00270,10,Transformer,0.862,0.923,0.319,6,61.22,Watchlist
EQ-00271,11,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00272,11,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00273,11,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00274,11,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00275,11,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00276,11,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00277,11,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00278,11,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00279,11,Inverter,0.825,0.95,0.115,5,57.19,Watchlist
EQ-00280,11,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00281,11,Inverter,0.825,0.95,0.117,12,53.71,Critical
EQ-00282,11,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00283,11,Inverter,0.825,0.95,0.115,10,54.68,Critical
EQ-00284,11,Inverter,0.825,0.95,0.117,3,58.2,Watchlist
EQ-00285,11,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00286,11,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00287,11,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00288,11,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00289,11,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00290,11,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00291,11,Inverter,0.824,0.95,0.116,6,56.68,Watchlist
EQ-00292,11,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00293,11,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00294,11,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00295,11,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00296,11,Transformer,0.705,0.98,0.337,4,58.8,Watchlist
EQ-00297,11,Transformer,0.87,0.973,0.227,4,62.2,Watchlist
EQ-00298,12,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00299,12,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00300,12,Inverter,0.825,0.95,0.116,9,55.19,Watchlist
EQ-00301,12,Inverter,0.825,0.95,0.117,3,58.21,Watchlist
EQ-00302,12,Inverter,0.825,0.95,0.116,3,58.21,Watchlist
EQ-00303,12,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00304,12,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00305,12,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00306,12,Inverter,0.825,0.95,0.117,14,52.7,Critical
EQ-00307,12,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00308,12,Inverter,0.825,0.95,0.116,10,54.7,Critical
EQ-00309,12,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00310,12,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00311,12,Inverter,0.824,0.95,0.116,11,54.18,Critical
EQ-00312,12,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00313,12,Inverter,0.825,0.95,0.115,6,56.7,Watchlist
EQ-00314,12,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00315,12,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00316,12,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00317,12,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00318,12,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00319,12,Inverter,0.825,0.95,0.115,8,55.67,Watchlist
EQ-00320,12,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00321,12,Inverter,0.825,0.95,0.117,6,56.71,Watchlist
EQ-00322,12,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00323,12,Transformer,0.75,0.907,0.214,1,57.24,Watchlist
EQ-00324,12,Transformer,0.703,0.914,0.19,5,53.31,Critical
EQ-00325,13,Inverter,0.825,0.95,0.115,6,56.69,Watchlist
EQ-00326,13,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00327,13,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00328,13,Inverter,0.825,0.95,0.116,3,58.21,Watchlist
EQ-00329,13,Inverter,0.825,0.95,0.115,3,58.18,Watchlist
EQ-00330,13,Inverter,0.825,0.95,0.116,6,56.67,Watchlist
EQ-00331,13,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00332,13,Inverter,0.825,0.95,0.115,5,57.17,Watchlist
EQ-00333,13,Inverter,0.825,0.95,0.116,11,54.18,Critical
EQ-00334,13,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00335,13,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00336,13,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00337,13,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00338,13,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00339,13,Inverter,0.825,0.95,0.115,2,58.69,Watchlist
EQ-00340,13,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00341,13,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00342,13,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00343,13,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00344,13,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00345,13,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00346,13,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00347,13,Inverter,0.825,0.95,0.115,2,58.69,Watchlist
EQ-00348,13,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00349,13,Inverter,0.826,0.95,0.115,4,57.7,Watchlist
EQ-00350,13,Transformer,0.844,0.94,0.207,3,60.36,Watchlist
EQ-00351,13,Transformer,0.763,0.951,0.281,10,55.85,Watchlist
EQ-00352,14,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00353,14,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00354,14,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00355,14,Inverter,0.825,0.95,0.117,9,55.21,Watchlist
EQ-00356,14,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00357,14,Inverter,0.825,0.95,0.115,7,56.18,Watchlist
EQ-00358,14,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00359,14,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00360,14,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00361,14,Inverter,0.825,0.95,0.115,3,58.19,Watchlist
EQ-00362,14,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00363,14,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00364,14,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00365,14,Inverter,0.825,0.95,0.115,4,57.68,Watchlist
