Timestamp,Region,Load_kW,Peak_Demand_kW,Energy_Consumed_kWh,Voltage,Current,Power_Factor,Load_Factor
2025-01-02 00:30:00,KPK,5322.64,0.0,5322.64,228.97,23.25,0.929,0.602
2025-01-02 00:45:00,KPK,5408.46,0.0,5408.46,227.44,23.78,0.89,0.612
2025-01-02 01:00:00,KPK,5947.84,0.0,5947.84,226.46,26.26,0.91,0.673
2025-01-02 01:15:00,KPK,5881.55,0.0,5881.55,223.1,26.36,0.902,0.665
2025-01-02 01:30:00,KPK,5581.25,0.0,5581.25,234.78,23.77,0.929,0.631
2025-01-02 01:45:00,KPK,5198.01,0.0,5198.01,231.06,22.5,0.947,0.588
2025-01-02 02:00:00,KPK,5803.32,0.0,5803.32,228.64,25.38,0.899,0.656
2025-01-02 02:15:00,KPK,6329.75,0.0,6329.75,230.91,27.41,0.884,0.716
2025-01-02 02:30:00,KPK,5973.47,0.0,5973.47,226.03,26.43,0.97,0.676
2025-01-02 02:45:00,KPK,5867.7,0.0,5867.7,226.86,25.86,0.986,0.664
2025-01-02 03:00:00,KPK,5308.85,0.0,5308.85,235.71,22.52,0.989,0.6
2025-01-02 03:15:00,KPK,5249.34,0.0,5249.34,229.79,22.84,0.96,0.594
2025-01-02 03:30:00,KPK,5683.62,0.0,5683.62,226.14,25.13,0.89,0.643
2025-01-02 03:45:00,KPK,5409.45,0.0,5409.45,223.71,24.18,0.987,0.612
2025-01-02 04:00:00,KPK,5189.03,0.0,5189.03,224.95,23.07,0.981,0.587
2025-01-02 04:15:00,KPK,5652.45,0.0,5652.45,227.86,24.81,0.989,0.639
2025-01-02 04:30:00,KPK,5649.66,0.0,5649.66,233.66,24.18,0.915,0.639
2025-01-02 04:45:00,KPK,5787.68,0.0,5787.68,227.17,25.48,0.977,0.655
2025-01-02 05:00:00,KPK,5079.46,0.0,5079.46,230.81,22.01,0.892,0.575
2025-01-02 05:15:00,KPK,5639.74,0.0,5639.74,227.7,24.77,0.926,0.638
2025-01-02 05:30:00,KPK,5641.41,0.0,5641.41,232.11,24.31,0.901,0.638
2025-01-02 05:45:00,KPK,5224.01,0.0,5224.01,240.07,21.76,0.943,0.591
2025-01-02 06:00:00,KPK,5805.36,0.0,5805.36,233.09,24.91,0.973,0.657
2025-01-02 06:15:00,KPK,5419.92,0.0,5419.92,231.49,23.41,0.915,0.613
2025-01-02 06:30:00,KPK,5707.52,0.0,5707.52,224.97,25.37,0.989,0.646
2025-01-02 06:45:00,KPK,5827.0,0.0,5827.0,228.11,25.54,0.904,0.659
2025-01-02 07:00:00,KPK,5388.34,0.0,5388.34,229.04,23.53,0.964,0.609
2025-01-02 07:15:00,KPK,6004.04,0.0,6004.04,227.42,26.4,0.979,0.679
2025-01-02 07:30:00,KPK,5771.68,0.0,5771.68,227.03,25.42,0.887,0.653
2025-01-02 07:45:00,KPK,5651.31,0.0,5651.31,233.73,24.18,0.976,0.639
2025-01-02 08:00:00,KPK,5098.38,0.0,5098.38,222.86,22.88,0.905,0.577
2025-01-02 08:15:00,KPK,5281.09,0.0,5281.09,228.48,23.11,0.925,0.597
2025-01-02 08:30:00,KPK,5537.33,0.0,5537.33,237.06,23.36,0.882,0.626
2025-01-02 08:45:00,KPK,5444.96,0.0,5444.96,229.66,23.71,0.986,0.616
2025-01-02 09:00:00,KPK,7647.82,0.0,7647.82,226.52,33.76,0.987,0.865
2025-01-02 09:15:00,KPK,7693.61,0.0,7693.61,234.42,32.82,0.972,0.87
2025-01-02 09:30:00,KPK,7543.01,0.0,7543.01,230.77,32.69,0.942,0.853
2025-01-02 09:45:00,KPK,7702.16,0.0,7702.16,241.17,31.94,0.95,0.871
2025-01-02 10:00:00,KPK,7089.84,0.0,7089.84,228.69,31.0,0.893,0.802
2025-01-02 10:15:00,KPK,7495.39,0.0,7495.39,228.91,32.74,0.885,0.848
2025-01-02 10:30:00,KPK,7021.29,0.0,7021.29,232.64,30.18,0.971,0.794
2025-01-02 10:45:00,KPK,7728.03,0.0,7728.03,237.64,32.52,0.887,0.874
2025-01-02 11:00:00,KPK,7171.92,0.0,7171.92,223.63,32.07,0.989,0.811
2025-01-02 11:15:00,KPK,7699.1,0.0,7699.1,241.26,31.91,0.972,0.871
2025-01-02 11:30:00,KPK,7363.92,0.0,7363.92,221.54,33.24,0.909,0.833
2025-01-02 11:45:00,KPK,7637.37,0.0,7637.37,236.97,32.23,0.952,0.864
2025-01-02 12:00:00,KPK,7288.91,0.0,7288.91,226.42,32.19,0.934,0.824
2025-01-02 12:15:00,KPK,7585.83,0.0,7585.83,238.55,31.8,0.884,0.858
2025-01-02 12:30:00,KPK,7375.98,0.0,7375.98,231.21,31.9,0.98,0.834
2025-01-02 12:45:00,KPK,7195.22,0.0,7195.22,229.45,31.36,0.917,0.814
2025-01-02 13:00:00,KPK,7426.65,0.0,7426.65,228.22,32.54,0.984,0.84
2025-01-02 13:15:00,KPK,7961.0,0.0,7961.0,228.64,34.82,0.95,0.9
2025-01-02 13:30:00,KPK,7287.9,0.0,7287.9,231.94,31.42,0.906,0.824
2025-01-02 13:45:00,KPK,7262.55,0.0,7262.55,225.35,32.23,0.932,0.821
2025-01-02 14:00:00,KPK,7803.41,0.0,7803.41,228.92,34.09,0.88,0.883
2025-01-02 14:15:00,KPK,7563.2,0.0,7563.2,227.65,33.22,0.98,0.855
2025-01-02 14:30:00,KPK,7475.8,0.0,7475.8,222.04,33.67,0.93,0.846
2025-01-02 14:45:00,KPK,8220.28,0.0,8220.28,227.47,36.14,0.932,0.93
2025-01-02 15:00:00,KPK,7144.97,0.0,7144.97,216.84,32.95,0.945,0.808
2025-01-02 15:15:00,KPK,7879.05,0.0,7879.05,230.61,34.17,0.885,0.891
2025-01-02 15:30:00,KPK,7620.73,0.0,7620.73,231.44,32.93,0.911,0.862
2025-01-02 15:45:00,KPK,6816.04,0.0,6816.04,222.79,30.59,0.904,0.771
2025-01-02 16:00:00,KPK,7378.81,0.0,7378.81,229.42,32.16,0.911,0.835
2025-01-02 16:15:00,KPK,7357.12,0.0,7357.12,234.27,31.4,0.97,0.832
2025-01-02 16:30:00,KPK,7842.82,0.0,7842.82,230.43,34.04,0.943,0.887
2025-01-02 16:45:00,KPK,7512.13,0.0,7512.13,227.05,33.09,0.982,0.85
2025-01-02 17:00:00,KPK,7420.48,0.0,7420.48,224.38,33.07,0.96,0.839
2025-01-02 17:15:00,KPK,7634.5,0.0,7634.5,233.84,32.65,0.908,0.864
2025-01-02 17:30:00,KPK,7171.89,0.0,7171.89,235.15,30.5,0.959,0.811
2025-01-02 17:45:00,KPK,7774.56,0.0,7774.56,232.68,33.41,0.884,0.879
2025-01-02 18:00:00,KPK,8728.05,8728.05,8728.05,232.88,37.48,0.953,0.987
2025-01-02 18:15:00,KPK,9017.53,9017.53,9017.53,235.43,38.3,0.89,1.02
2025-01-02 18:30:00,KPK,9180.76,9180.76,9180.76,241.0,38.1,0.979,1.038
2025-01-02 18:45:00,KPK,8338.82,8338.82,8338.82,225.52,36.98,0.962,0.943
2025-01-02 19:00:00,KPK,9375.77,9375.77,9375.77,224.67,41.73,0.951,1.06
2025-01-02 19:15:00,KPK,8910.86,8910.86,8910.86,234.57,37.99,0.935,1.008
2025-01-02 19:30:00,KPK,8750.77,8750.77,8750.77,228.41,38.31,0.95,0.99
2025-01-02 19:45:00,KPK,8904.12,8904.12,8904.12,238.43,37.34,0.971,1.007
2025-01-02 20:00:00,KPK,8936.23,8936.23,8936.23,239.5,37.31,0.929,1.011
2025-01-02 20:15:00,KPK,8785.31,8785.31,8785.31,226.16,38.85,0.98,0.994
2025-01-02 20:30:00,KPK,8670.11,8670.11,8670.11,233.09,37.2,0.931,0.981
2025-01-02 20:45:00,KPK,9155.53,9155.53,9155.53,228.32,40.1,0.924,1.036
2025-01-02 21:00:00,KPK,8865.47,8865.47,8865.47,225.98,39.23,0.975,1.003
2025-01-02 21:15:00,KPK,8418.24,8418.24,8418.24,232.32,36.23,0.922,0.952
2025-01-02 21:30:00,KPK,9498.4,9498.4,9498.4,223.11,42.57,0.964,1.074
2025-01-02 21:45:00,KPK,8817.67,8817.67,8817.67,228.27,38.63,0.938,0.997
2025-01-02 22:00:00,KPK,8461.08,8461.08,8461.08,230.22,36.75,0.951,0.957
2025-01-02 22:15:00,KPK,8794.81,8794.81,8794.81,232.15,37.88,0.937,0.995
2025-01-02 22:30:00,KPK,9223.24,9223.24,9223.24,227.51,40.54,0.946,1.043
2025-01-02 22:45:00,KPK,9207.79,9207.79,9207.79,230.56,39.94,0.944,1.041
2025-01-02 23:00:00,KPK,5285.2,0.0,5285.2,230.71,22.91,0.898,0.598
2025-01-02 23:15:00,KPK,5575.04,0.0,5575.04,232.09,24.02,0.895,0.631
2025-01-02 23:30:00,KPK,5532.36,0.0,5532.36,229.21,24.14,0.982,0.626
2025-01-02 23:45:00,KPK,5036.46,0.0,5036.46,222.75,22.61,0.914,0.57
2025-01-03 00:00:00,KPK,5554.48,0.0,5554.48,224.11,24.78,0.894,0.628
2025-01-03 00:15:00,KPK,5442.54,0.0,5442.54,235.35,23.12,0.921,0.616
2025-01-03 00:30:00,KPK,4779.51,0.0,4779.51,223.9,21.35,0.989,0.541
2025-01-03 00:45:00,KPK,5308.04,0.0,5308.04,230.47,23.03,0.947,0.6
2025-01-03 01:00:00,KPK,5561.16,0.0,5561.16,231.99,23.97,0.939,0.629
2025-01-03 01:15:00,KPK,5411.78,0.0,5411.78,226.62,23.88,0.972,0.612
2025-01-03 01:30:00,KPK,5885.32,0.0,5885.32,227.66,25.85,0.958,0.666
2025-01-03 01:45:00,KPK,5575.8,0.0,5575.8,223.39,24.96,0.955,0.631
2025-01-03 02:00:00,KPK,5757.12,0.0,5757.12,227.46,25.31,0.94,0.651
2025-01-03 02:15:00,KPK,5654.63,0.0,5654.63,224.08,25.23,0.99,0.64
2025-01-03 02:30:00,KPK,5663.97,0.0,5663.97,228.21,24.82,0.903,0.641
2025-01-03 02:45:00,KPK,5779.75,0.0,5779.75,234.28,24.67,0.913,0.654
2025-01-03 03:00:00,KPK,5886.25,0.0,5886.25,226.83,25.95,0.931,0.666
2025-01-03 03:15:00,KPK,5358.49,0.0,5358.49,232.27,23.07,0.974,0.606
2025-01-03 03:30:00,KPK,5723.78,0.0,5723.78,231.36,24.74,0.895,0.647
2025-01-03 03:45:00,KPK,6065.98,0.0,6065.98,237.81,25.51,0.919,0.686
2025-01-03 04:00:00,KPK,5403.02,0.0,5403.02,229.75,23.52,0.962,0.611
2025-01-03 04:15:00,KPK,5363.09,0.0,5363.09,230.38,23.28,0.955,0.607
2025-01-03 04:30:00,KPK,5409.59,0.0,5409.59,229.81,23.54,0.987,0.612
2025-01-03 04:45:00,KPK,5572.28,0.0,5572.28,233.27,23.89,0.89,0.63
2025-01-03 05:00:00,KPK,5551.04,0.0,5551.04,238.21,23.3,0.913,0.628
2025-01-03 05:15:00,KPK,6543.04,0.0,6543.04,223.78,29.24,0.942,0.74
2025-01-03 05:30:00,KPK,6191.35,0.0,6191.35,224.21,27.61,0.981,0.7
2025-01-03 05:45:00,KPK,5975.45,0.0,5975.45,225.84,26.46,0.978,0.676
2025-01-03 06:00:00,KPK,4906.77,0.0,4906.77,221.44,22.16,0.946,0.555
2025-01-03 06:15:00,KPK,5950.87,0.0,5950.87,231.91,25.66,0.932,0.673
2025-01-03 06:30:00,KPK,5259.68,0.0,5259.68,226.03,23.27,0.914,0.595
2025-01-03 06:45:00,KPK,5832.29,0.0,5832.29,233.95,24.93,0.982,0.66
2025-01-03 07:00:00,KPK,6238.57,0.0,6238.57,232.3,26.86,0.951,0.706
2025-01-03 07:15:00,KPK,5408.17,0.0,5408.17,235.07,23.01,0.961,0.612
2025-01-03 07:30:00,KPK,6000.73,0.0,6000.73,230.7,26.01,0.989,0.679
2025-01-03 07:45:00,KPK,5529.53,0.0,5529.53,228.22,24.23,0.95,0.625
2025-01-03 08:00:00,KPK,5620.82,0.0,5620.82,230.73,24.36,0.957,0.636
2025-01-03 08:15:00,KPK,5499.89,0.0,5499.89,225.64,24.37,0.96,0.622
2025-01-03 08:30:00,KPK,5855.21,0.0,5855.21,224.36,26.1,0.883,0.662
2025-01-03 08:45:00,KPK,5707.75,0.0,5707.75,220.72,25.86,0.95,0.646
2025-01-03 09:00:00,KPK,8048.89,0.0,8048.89,233.36,34.49,0.881,0.91
2025-01-03 09:15:00,KPK,7316.57,0.0,7316.57,231.68,31.58,0.973,0.828
2025-01-03 09:30:00,KPK,7490.42,0.0,7490.42,221.91,33.75,0.896,0.847
2025-01-03 09:45:00,KPK,7825.74,0.0,7825.74,236.18,33.13,0.903,0.885
2025-01-03 10:00:00,KPK,7447.62,0.0,7447.62,235.14,31.67,0.912,0.842
2025-01-03 10:15:00,KPK,7390.57,0.0,7390.57,226.51,32.63,0.882,0.836
2025-01-03 10:30:00,KPK,7876.44,0.0,7876.44,231.4,34.04,0.94,0.891
2025-01-03 10:45:00,KPK,7409.41,0.0,7409.41,223.09,33.21,0.964,0.838
2025-01-03 11:00:00,KPK,7710.77,0.0,7710.77,225.75,34.16,0.975,0.872
2025-01-03 11:15:00,KPK,7921.57,0.0,7921.57,229.07,34.58,0.941,0.896
2025-01-03 11:30:00,KPK,7658.94,0.0,7658.94,241.09,31.77,0.931,0.866
2025-01-03 11:45:00,KPK,7301.25,0.0,7301.25,224.83,32.47,0.912,0.826
2025-01-03 12:00:00,KPK,7229.19,0.0,7229.19,230.84,31.32,0.981,0.818
2025-01-03 12:15:00,KPK,7322.71,0.0,7322.71,237.79,30.8,0.897,0.828
2025-01-03 12:30:00,KPK,7242.06,0.0,7242.06,234.68,30.86,0.924,0.819
2025-01-03 12:45:00,KPK,7743.4,0.0,7743.4,234.65,33.0,0.945,0.876
2025-01-03 13:00:00,KPK,7588.26,0.0,7588.26,234.51,32.36,0.931,0.858
2025-01-03 13:15:00,KPK,7675.29,0.0,7675.29,229.13,33.5,0.889,0.868
2025-01-03 13:30:00,KPK,7586.82,0.0,7586.82,224.74,33.76,0.975,0.858
2025-01-03 13:45:00,KPK,7788.9,0.0,7788.9,230.76,33.75,0.984,0.881
2025-01-03 14:00:00,KPK,6967.48,0.0,6967.48,224.05,31.1,0.983,0.788
2025-01-03 14:15:00,KPK,7306.59,0.0,7306.59,231.71,31.53,0.885,0.826
2025-01-03 14:30:00,KPK,7752.77,0.0,7752.77,230.55,33.63,0.973,0.877
2025-01-03 14:45:00,KPK,7278.63,0.0,7278.63,232.05,31.37,0.908,0.823
2025-01-03 15:00:00,KPK,7480.8,0.0,7480.8,231.0,32.38,0.911,0.846
2025-01-03 15:15:00,KPK,7646.03,0.0,7646.03,225.98,33.83,0.984,0.865
2025-01-03 15:30:00,KPK,7475.75,0.0,7475.75,221.29,33.78,0.95,0.846
2025-01-03 15:45:00,KPK,6803.79,0.0,6803.79,229.85,29.6,0.975,0.77
2025-01-03 16:00:00,KPK,7232.48,0.0,7232.48,229.69,31.49,0.95,0.818
2025-01-03 16:15:00,KPK,7445.43,0.0,7445.43,231.64,32.14,0.941,0.842
2025-01-03 16:30:00,KPK,8017.83,0.0,8017.83,226.89,35.34,0.921,0.907
2025-01-03 16:45:00,KPK,7649.09,0.0,7649.09,233.15,32.81,0.951,0.865
2025-01-03 17:00:00,KPK,7725.79,0.0,7725.79,233.78,33.05,0.884,0.874
2025-01-03 17:15:00,KPK,7733.22,0.0,7733.22,229.18,33.74,0.894,0.875
2025-01-03 17:30:00,KPK,7572.84,0.0,7572.84,228.3,33.17,0.931,0.857
2025-01-03 17:45:00,KPK,7288.89,0.0,7288.89,230.77,31.58,0.885,0.824
2025-01-03 18:00:00,KPK,9141.78,9141.78,9141.78,232.59,39.3,0.966,1.034
2025-01-03 18:15:00,KPK,8563.4,8563.4,8563.4,230.51,37.15,0.956,0.969
2025-01-03 18:30:00,KPK,8928.67,8928.67,8928.67,229.08,38.98,0.972,1.01
2025-01-03 18:45:00,KPK,8894.1,8894.1,8894.1,230.41,38.6,0.883,1.006
2025-01-03 19:00:00,KPK,8583.42,8583.42,8583.42,235.98,36.37,0.98,0.971
2025-01-03 19:15:00,KPK,9115.36,9115.36,9115.36,225.26,40.47,0.977,1.031
2025-01-03 19:30:00,KPK,8808.42,8808.42,8808.42,227.56,38.71,0.964,0.996
2025-01-03 19:45:00,KPK,8332.3,8332.3,8332.3,228.36,36.49,0.904,0.942
2025-01-03 20:00:00,KPK,8612.21,8612.21,8612.21,230.68,37.33,0.922,0.974
2025-01-03 20:15:00,KPK,8503.19,8503.19,8503.19,227.66,37.35,0.928,0.962
2025-01-03 20:30:00,KPK,8479.27,8479.27,8479.27,223.6,37.92,0.961,0.959
2025-01-03 20:45:00,KPK,9029.76,9029.76,9029.76,223.87,40.34,0.943,1.021
2025-01-03 21:00:00,KPK,9405.86,9405.86,9405.86,233.93,40.21,0.94,1.064
2025-01-03 21:15:00,KPK,8947.89,8947.89,8947.89,233.84,38.26,0.94,1.012
2025-01-03 21:30:00,KPK,8952.51,8952.51,8952.51,235.77,37.97,0.912,1.013
2025-01-03 21:45:00,KPK,8699.59,8699.59,8699.59,228.01,38.15,0.979,0.984
2025-01-03 22:00:00,KPK,8934.77,8934.77,8934.77,230.75,38.72,0.946,1.011
2025-01-03 22:15:00,KPK,8629.09,8629.09,8629.09,229.79,37.55,0.954,0.976
2025-01-03 22:30:00,KPK,8886.64,8886.64,8886.64,230.13,38.62,0.906,1.005
2025-01-03 22:45:00,KPK,9479.08,9479.08,9479.08,232.16,40.83,0.951,1.072
2025-01-03 23:00:00,KPK,6007.75,0.0,6007.75,231.63,25.94,0.903,0.68
2025-01-03 23:15:00,KPK,5797.15,0.0,5797.15,237.24,24.44,0.979,0.656
2025-01-03 23:30:00,KPK,5428.53,0.0,5428.53,234.32,23.17,0.91,0.614
2025-01-03 23:45:00,KPK,5573.06,0.0,5573.06,231.89,24.03,0.98,0.63
2025-01-04 00:00:00,KPK,5698.16,0.0,5698.16,224.84,25.34,0.969,0.645
2025-01-04 00:15:00,KPK,5521.23,0.0,5521.23,232.08,23.79,0.96,0.624
2025-01-04 00:30:00,KPK,5355.02,0.0,5355.02,230.31,23.25,0.956,0.606
2025-01-04 00:45:00,KPK,5701.53,0.0,5701.53,230.99,24.68,0.935,0.645
2025-01-04 01:00:00,KPK,5059.93,0.0,5059.93,226.4,22.35,0.964,0.572
2025-01-04 01:15:00,KPK,5703.34,0.0,5703.34,229.26,24.88,0.986,0.645
