Equipment_ID,Plant_ID,Equipment_Type,Manufacturer,Rated_Capacity_kW,Installation_Date,Status
EQ-00144,6,Inverter,Schneider,150,2021-01-24,Active
EQ-00145,6,Inverter,Schneider,50,2021-03-25,Active
EQ-00146,6,Inverter,GE,75,2022-05-26,Active
EQ-00147,6,Inverter,Huawei,50,2020-05-25,Maintenance
EQ-00148,6,Inverter,Huawei,100,2022-05-02,Active
EQ-00149,6,Inverter,Huawei,100,2022-03-05,Active
EQ-00150,6,Inverter,Huawei,75,2020-04-14,Active
EQ-00151,6,Inverter,Huawei,150,2022-04-02,Active
EQ-00152,6,Inverter,Huawei,150,2022-02-09,Active
EQ-00153,6,Inverter,Schneider,150,2021-11-07,Active
EQ-00154,6,Inverter,ABB,50,2023-01-13,Active
EQ-00155,6,Inverter,GE,50,2020-02-20,Active
EQ-00156,6,Inverter,Siemens,50,2022-05-30,Active
EQ-00157,6,Inverter,Sungrow,125,2020-04-04,Active
EQ-00158,6,Inverter,Sungrow,75,2021-11-04,Active
EQ-00159,6,Inverter,ABB,100,2020-09-24,Active
EQ-00160,6,Inverter,Siemens,150,2022-09-16,Active
EQ-00161,6,Transformer,Huawei,500,2021-09-15,Active
EQ-00162,6,Transformer,Hitachi,1500,2022-05-02,Active
EQ-00163,7,Inverter,ABB,100,2020-04-12,Active
EQ-00164,7,Inverter,Siemens,75,2022-03-16,Active
EQ-00165,7,Inverter,Sungrow,100,2021-03-10,Active
EQ-00166,7,Inverter,Siemens,50,2020-06-14,Active
EQ-00167,7,Inverter,Hitachi,125,2021-06-25,Active
EQ-00168,7,Inverter,ABB,50,2020-05-12,Active
EQ-00169,7,Inverter,Sungrow,50,2022-02-23,Active
EQ-00170,7,Inverter,Schneider,75,2020-02-22,Active
EQ-00171,7,Inverter,GE,100,2020-02-12,Active
EQ-00172,7,Inverter,ABB,50,2022-04-27,Active
EQ-00173,7,Inverter,GE,125,2020-12-25,Active
EQ-00174,7,Inverter,Huawei,100,2021-10-28,Active
EQ-00175,7,Inverter,Sungrow,150,2021-09-25,Active
EQ-00176,7,Inverter,Schneider,150,2021-08-26,Active
EQ-00177,7,Inverter,GE,150,2022-04-17,Active
EQ-00178,7,Inverter,Huawei,125,2020-12-11,Active
EQ-00179,7,Inverter,Huawei,75,2023-01-01,Active
EQ-00180,7,Inverter,Hitachi,50,2020-08-01,Active
EQ-00181,7,Inverter,GE,100,2022-04-10,Active
EQ-00182,7,Inverter,Huawei,75,2022-03-14,Active
EQ-00183,7,Inverter,Huawei,100,2021-12-19,Active
EQ-00184,7,Inverter,GE,75,2020-01-28,Active
EQ-00185,7,Inverter,Sungrow,150,2021-10-27,Active
EQ-00186,7,Inverter,ABB,100,2022-07-07,Active
EQ-00187,7,Inverter,Hitachi,125,2022-03-16,Active
EQ-00188,7,Transformer,Hitachi,2000,2021-04-29,Active
EQ-00189,7,Transformer,Hitachi,500,2020-03-26,Active
EQ-00190,8,Inverter,Siemens,50,2020-05-24,Active
EQ-00191,8,Inverter,Huawei,125,2020-03-07,Active
EQ-00192,8,Inverter,Sungrow,125,2020-04-20,Active
EQ-00193,8,Inverter,Hitachi,50,2022-01-17,Active
EQ-00194,8,Inverter,Huawei,150,2021-11-22,Active
EQ-00195,8,Inverter,Sungrow,100,2020-11-10,Maintenance
EQ-00196,8,Inverter,Schneider,50,2021-10-23,Active
EQ-00197,8,Inverter,GE,125,2022-04-22,Active
EQ-00198,8,Inverter,GE,50,2022-01-28,Active
EQ-00199,8,Inverter,Hitachi,150,2021-07-01,Maintenance
EQ-00200,8,Inverter,GE,75,2021-04-12,Active
EQ-00201,8,Inverter,Siemens,50,2021-05-18,Active
EQ-00202,8,Inverter,GE,50,2020-07-12,Active
EQ-00203,8,Inverter,Sungrow,100,2020-06-21,Active
EQ-00204,8,Inverter,GE,75,2023-02-15,Active
EQ-00205,8,Inverter,Siemens,50,2021-06-15,Active
EQ-00206,8,Inverter,Hitachi,50,2020-03-30,Active
EQ-00207,8,Inverter,GE,150,2020-05-18,Active
EQ-00208,8,Inverter,Schneider,100,2020-09-15,Active
EQ-00209,8,Inverter,Sungrow,75,2020-09-17,Active
EQ-00210,8,Inverter,Siemens,75,2020-01-13,Active
EQ-00211,8,Inverter,Siemens,50,2020-11-24,Active
EQ-00212,8,Inverter,ABB,100,2023-01-23,Active
EQ-00213,8,Inverter,GE,125,2020-08-23,Active
EQ-00214,8,Inverter,Schneider,100,2023-03-06,Active
EQ-00215,8,Transformer,ABB,1500,2021-05-27,Active
EQ-00216,8,Transformer,GE,2000,2022-05-22,Active
EQ-00217,9,Inverter,Siemens,100,2021-12-25,Active
EQ-00218,9,Inverter,ABB,100,2020-03-18,Active
EQ-00219,9,Inverter,Siemens,50,2022-12-01,Active
EQ-00220,9,Inverter,Hitachi,100,2021-02-25,Active
EQ-00221,9,Inverter,Hitachi,50,2021-10-26,Active
EQ-00222,9,Inverter,Hitachi,75,2022-03-31,Active
EQ-00223,9,Inverter,ABB,100,2020-07-16,Active
EQ-00224,9,Inverter,Hitachi,100,2021-07-07,Active
EQ-00225,9,Inverter,Hitachi,150,2021-04-22,Active
EQ-00226,9,Inverter,Siemens,150,2021-07-03,Active
EQ-00227,9,Inverter,Schneider,150,2022-08-08,Active
EQ-00228,9,Inverter,Siemens,75,2021-05-31,Active
EQ-00229,9,Inverter,Huawei,150,2023-03-28,Active
EQ-00230,9,Inverter,Schneider,125,2020-01-15,Active
EQ-00231,9,Inverter,Schneider,150,2020-02-16,Active
EQ-00232,9,Inverter,Schneider,75,2020-04-04,Active
EQ-00233,9,Inverter,Siemens,125,2022-03-04,Active
EQ-00234,9,Inverter,Schneider,125,2020-01-11,Active
EQ-00235,9,Inverter,GE,75,2020-10-28,Active
EQ-00236,9,Inverter,Sungrow,150,2022-08-15,Active
EQ-00237,9,Inverter,Huawei,125,2021-11-13,Active
EQ-00238,9,Inverter,Siemens,125,2023-03-02,Active
EQ-00239,9,Inverter,Hitachi,75,2022-10-05,Active
EQ-00240,9,Inverter,Sungrow,50,2022-10-10,Active
EQ-00241,9,Inverter,GE,50,2022-02-17,Active
EQ-00242,9,Transformer,GE,500,2021-02-23,Active
EQ-00243,9,Transformer,Huawei,500,2021-07-20,Active
EQ-00244,10,Inverter,Hitachi,150,2022-08-26,Active
EQ-00245,10,Inverter,Sungrow,125,2020-11-08,Active
EQ-00246,10,Inverter,Huawei,100,2021-07-28,Active
EQ-00247,10,Inverter,Sungrow,100,2021-01-20,Active
EQ-00248,10,Inverter,ABB,75,2020-12-12,Active
EQ-00249,10,Inverter,ABB,100,2022-05-25,Active
EQ-00250,10,Inverter,GE,50,2021-12-10,Active
EQ-00251,10,Inverter,Huawei,50,2020-10-11,Active
EQ-00252,10,Inverter,GE,75,2020-06-04,Active
EQ-00253,10,Inverter,Huawei,50,2023-01-12,Active
EQ-00254,10,Inverter,Siemens,125,2022-12-22,Maintenance
EQ-00255,10,Inverter,Huawei,50,2023-03-10,Active
EQ-00256,10,Inverter,ABB,100,2022-08-09,Active
EQ-00257,10,Inverter,GE,150,2021-03-04,Active
EQ-00258,10,Inverter,ABB,75,2022-02-07,Active
EQ-00259,10,Inverter,Hitachi,75,2020-07-12,Active
EQ-00260,10,Inverter,Huawei,75,2022-08-04,Active
EQ-00261,10,Inverter,Huawei,150,2020-02-24,Active
EQ-00262,10,Inverter,Sungrow,75,2020-06-10,Active
EQ-00263,10,Inverter,Hitachi,125,2022-10-28,Active
EQ-00264,10,Inverter,Hitachi,100,2021-03-18,Active
EQ-00265,10,Inverter,GE,50,2021-08-01,Active
EQ-00266,10,Inverter,Siemens,75,2020-04-05,Maintenance
EQ-00267,10,Inverter,GE,100,2021-03-27,Active
EQ-00268,10,Inverter,GE,150,2022-06-28,Active
EQ-00269,10,Transformer,Sungrow,1500,2020-11-25,Active
EQ-00270,10,Transformer,Hitachi,500,2020-05-26,Active
EQ-00271,11,Inverter,ABB,125,2021-11-30,Active
EQ-00272,11,Inverter,Huawei,150,2022-01-15,Active
EQ-00273,11,Inverter,ABB,125,2020-09-17,Active
EQ-00274,11,Inverter,GE,50,2022-12-12,Active
EQ-00275,11,Inverter,Siemens,75,2022-05-03,Active
EQ-00276,11,Inverter,Huawei,75,2023-03-27,Active
EQ-00277,11,Inverter,GE,50,2023-02-12,Active
EQ-00278,11,Inverter,Huawei,75,2020-08-24,Active
EQ-00279,11,Inverter,Huawei,100,2021-05-08,Maintenance
EQ-00280,11,Inverter,Sungrow,150,2023-02-06,Active
EQ-00281,11,Inverter,Schneider,100,2022-04-17,Active
EQ-00282,11,Inverter,Schneider,75,2020-02-10,Active
EQ-00283,11,Inverter,Huawei,150,2023-03-22,Active
EQ-00284,11,Inverter,Siemens,150,2020-12-07,Active
EQ-00285,11,Inverter,Huawei,100,2020-06-16,Active
EQ-00286,11,Inverter,Schneider,50,2022-03-31,Active
EQ-00287,11,Inverter,Schneider,50,2022-07-10,Active
EQ-00288,11,Inverter,GE,75,2020-05-09,Active
EQ-00289,11,Inverter,ABB,50,2022-03-29,Active
EQ-00290,11,Inverter,ABB,75,2020-01-29,Active
EQ-00291,11,Inverter,ABB,125,2023-02-10,Active
EQ-00292,11,Inverter,ABB,75,2020-02-24,Active
EQ-00293,11,Inverter,GE,150,2022-01-20,Active
EQ-00294,11,Inverter,ABB,125,2022-08-15,Active
EQ-00295,11,Inverter,ABB,75,2020-07-19,Active
EQ-00296,11,Transformer,Schneider,500,2021-12-13,Active
EQ-00297,11,Transformer,Huawei,500,2020-03-01,Active
EQ-00298,12,Inverter,Sungrow,50,2022-11-28,Active
EQ-00299,12,Inverter,Sungrow,150,2020-04-17,Active
EQ-00300,12,Inverter,GE,75,2021-06-07,Active
EQ-00301,12,Inverter,Siemens,100,2022-03-27,Active
EQ-00302,12,Inverter,Sungrow,50,2020-01-12,Active
EQ-00303,12,Inverter,ABB,150,2023-01-09,Active
EQ-00304,12,Inverter,GE,50,2021-04-10,Active
EQ-00305,12,Inverter,Hitachi,100,2021-05-03,Active
EQ-00306,12,Inverter,Hitachi,75,2022-11-05,Active
EQ-00307,12,Inverter,Hitachi,75,2022-09-07,Active
EQ-00308,12,Inverter,Hitachi,150,2020-05-16,Active
EQ-00309,12,Inverter,Sungrow,100,2021-12-27,Active
EQ-00310,12,Inverter,Hitachi,125,2022-07-23,Active
EQ-00311,12,Inverter,ABB,75,2021-09-06,Active
EQ-00312,12,Inverter,Hitachi,100,2021-09-11,Active
EQ-00313,12,Inverter,Sungrow,100,2022-03-15,Active
EQ-00314,12,Inverter,Sungrow,125,2020-02-08,Active
EQ-00315,12,Inverter,Huawei,125,2022-09-08,Active
EQ-00316,12,Inverter,Sungrow,50,2020-01-16,Active
EQ-00317,12,Inverter,Siemens,75,2020-11-06,Active
EQ-00318,12,Inverter,Sungrow,100,2022-01-28,Active
EQ-00319,12,Inverter,Sungrow,100,2022-11-28,Active
EQ-00320,12,Inverter,Schneider,50,2021-04-21,Active
EQ-00321,12,Inverter,Siemens,50,2020-09-28,Active
EQ-00322,12,Inverter,Hitachi,50,2020-09-22,Active
EQ-00323,12,Transformer,Hitachi,1500,2020-12-05,Active
EQ-00324,12,Transformer,GE,500,2020-01-03,Active
EQ-00325,13,Inverter,GE,75,2020-11-19,Active
EQ-00326,13,Inverter,Schneider,50,2021-03-07,Active
EQ-00327,13,Inverter,GE,50,2021-02-02,Active
EQ-00328,13,Inverter,Siemens,125,2020-07-05,Active
EQ-00329,13,Inverter,Schneider,150,2022-07-27,Active
EQ-00330,13,Inverter,Hitachi,100,2022-12-21,Active
EQ-00331,13,Inverter,Huawei,125,2022-02-10,Active
EQ-00332,13,Inverter,Siemens,150,2022-06-03,Active
EQ-00333,13,Inverter,GE,75,2023-02-04,Active
EQ-00334,13,Inverter,Sungrow,50,2022-01-22,Active
EQ-00335,13,Inverter,GE,150,2020-02-23,Active
EQ-00336,13,Inverter,Huawei,50,2023-01-27,Active
EQ-00337,13,Inverter,Huawei,150,2021-02-22,Active
EQ-00338,13,Inverter,GE,50,2020-08-03,Active
EQ-00339,13,Inverter,ABB,150,2023-02-17,Active
EQ-00340,13,Inverter,Huawei,50,2021-08-02,Active
EQ-00341,13,Inverter,Sungrow,100,2022-08-09,Active
EQ-00342,13,Inverter,Siemens,150,2022-07-09,Active
EQ-00343,13,Inverter,Sungrow,50,2020-02-09,Active
EQ-00344,13,Inverter,ABB,100,2022-09-10,Active
EQ-00345,13,Inverter,GE,100,2023-04-14,Active
EQ-00346,13,Inverter,GE,150,2022-08-30,Active
EQ-00347,13,Inverter,Schneider,50,2023-02-11,Active
EQ-00348,13,Inverter,GE,150,2020-04-24,Active
EQ-00349,13,Inverter,Sungrow,100,2020-08-03,Active
EQ-00350,13,Transformer,Siemens,500,2021-07-24,Active
EQ-00351,13,Transformer,Huawei,500,2020-12-28,Active
EQ-00352,14,Inverter,Schneider,75,2020-12-21,Active
EQ-00353,14,Inverter,GE,125,2020-01-07,Active
EQ-00354,14,Inverter,Schneider,75,2022-01-30,Active
EQ-00355,14,Inverter,Hitachi,75,2021-11-02,Active
EQ-00356,14,Inverter,GE,75,2020-12-21,Active
EQ-00357,14,Inverter,Schneider,150,2020-10-21,Active
EQ-00358,14,Inverter,Schneider,100,2023-02-10,Active
EQ-00359,14,Inverter,Hitachi,75,2021-11-30,Active
EQ-00360,14,Inverter,Schneider,100,2022-10-04,Active
EQ-00361,14,Inverter,GE,75,2022-09-20,Active
EQ-00362,14,Inverter,Siemens,150,2022-09-15,Active
EQ-00363,14,Inverter,Siemens,125,2021-12-31,Active
EQ-00364,14,Inverter,Siemens,50,2022-06-04,Active
EQ-00365,14,Inverter,Sungrow,100,2020-07-28,Active
EQ-00366,14,Inverter,Hitachi,150,2021-12-16,Active
EQ-00367,14,Inverter,ABB,125,2021-01-15,Active
EQ-00368,14,Inverter,Schneider,100,2022-11-22,Active
EQ-00369,14,Inverter,Hitachi,100,2021-04-03,Active
EQ-00370,14,Inverter,Sungrow,75,2022-01-07,Maintenance
EQ-00371,14,Inverter,Huawei,100,2021-01-31,Active
EQ-00372,14,Inverter,Hitachi,150,2020-06-05,Active
EQ-00373,14,Inverter,Sungrow,125,2022-11-11,Active
EQ-00374,14,Inverter,ABB,50,2022-01-17,Active
EQ-00375,14,Inverter,Schneider,150,2020-10-29,Active
EQ-00376,14,Inverter,ABB,125,2021-07-23,Active
EQ-00377,14,Transformer,Hitachi,1000,2023-04-01,Active
EQ-00378,14,Transformer,Huawei,2000,2021-05-06,Active
EQ-00379,15,Inverter,Siemens,50,2021-06-03,Active
EQ-00380,15,Inverter,GE,75,2020-07-17,Active
EQ-00381,15,Inverter,Siemens,150,2021-01-12,Active
EQ-00382,15,Inverter,GE,50,2022-01-03,Active
EQ-00383,15,Inverter,Huawei,125,2021-06-04,Active
EQ-00384,15,Inverter,Huawei,125,2021-12-26,Active
EQ-00385,15,Inverter,Schneider,75,2021-08-06,Active
EQ-00386,15,Inverter,Schneider,50,2020-03-12,Active
EQ-00387,15,Inverter,GE,75,2021-08-29,Active
EQ-00388,15,Inverter,ABB,150,2021-12-29,Active
EQ-00389,15,Inverter,GE,50,2022-02-17,Active
EQ-00390,15,Inverter,Huawei,50,2021-08-10,Maintenance
EQ-00391,15,Inverter,Hitachi,125,2021-11-03,Active
EQ-00392,15,Inverter,Sungrow,125,2020-01-02,Active
EQ-00393,15,Inverter,Huawei,150,2021-08-11,Active
EQ-00394,15,Inverter,GE,75,2023-04-04,Active
EQ-00395,15,Inverter,GE,75,2020-05-22,Active
EQ-00396,15,Inverter,Hitachi,125,2020-11-12,Active
EQ-00397,15,Inverter,GE,50,2022-02-12,Active
EQ-00398,15,Inverter,Hitachi,50,2021-12-16,Active
EQ-00399,15,Inverter,Sungrow,125,2023-01-12,Active
EQ-00400,15,Inverter,ABB,100,2023-01-12,Active
EQ-00401,15,Inverter,GE,75,2020-01-22,Active
EQ-00402,15,Inverter,ABB,50,2022-05-23,Active
EQ-00403,15,Inverter,Sungrow,125,2020-03-27,Active
EQ-00404,15,Transformer,Huawei,500,2020-05-01,Active
EQ-00405,15,Transformer,GE,2000,2021-11-15,Active
EQ-00406,16,Inverter,Hitachi,150,2021-11-25,Active
EQ-00407,16,Inverter,Siemens,75,2022-07-02,Active
EQ-00408,16,Inverter,Schneider,50,2022-12-18,Active
EQ-00409,16,Inverter,Sungrow,100,2020-02-04,Active
EQ-00410,16,Inverter,GE,50,2022-06-21,Active
EQ-00411,16,Inverter,GE,150,2020-06-07,Active
EQ-00412,16,Inverter,Siemens,150,2021-05-30,Active
EQ-00413,16,Inverter,GE,125,2022-08-13,Active
EQ-00414,16,Inverter,Huawei,100,2021-08-30,Active
EQ-00415,16,Inverter,Sungrow,150,2022-05-15,Active
EQ-00416,16,Inverter,Sungrow,75,2022-07-20,Active
EQ-00417,16,Inverter,Sungrow,100,2020-07-04,Active
EQ-00418,16,Inverter,Siemens,100,2021-06-13,Active
EQ-00419,16,Inverter,Hitachi,50,2022-05-16,Active
EQ-00420,16,Inverter,Siemens,75,2022-07-28,Active
EQ-00421,16,Inverter,Sungrow,150,2022-04-16,Active
EQ-00422,16,Inverter,Huawei,125,2021-01-15,Active
EQ-00423,16,Inverter,Hitachi,50,2023-01-12,Active
EQ-00424,16,Inverter,GE,50,2022-06-09,Active
EQ-00425,16,Inverter,Siemens,75,2023-04-01,Active
EQ-00426,16,Inverter,Hitachi,50,2021-04-04,Active
EQ-00427,16,Inverter,Schneider,100,2022-10-30,Active
EQ-00428,16,Inverter,GE,75,2022-04-23,Active
EQ-00429,16,Inverter,Huawei,150,2022-08-29,Active
EQ-00430,16,Inverter,GE,125,2023-02-18,Active
EQ-00431,16,Transformer,Hitachi,500,2020-06-13,Active
EQ-00432,16,Transformer,Siemens,2000,2020-06-04,Active
EQ-00433,17,Inverter,GE,125,2022-08-14,Active
EQ-00434,17,Inverter,GE,75,2022-08-26,Active
EQ-00435,17,Inverter,Siemens,75,2022-03-07,Active
EQ-00436,17,Inverter,ABB,150,2022-12-18,Active
EQ-00437,17,Inverter,Huawei,100,2022-11-01,Active
EQ-00438,17,Inverter,Schneider,75,2020-05-05,Active
EQ-00439,17,Inverter,Sungrow,150,2022-11-28,Active
EQ-00440,17,Inverter,Hitachi,100,2022-07-07,Active
EQ-00441,17,Inverter,Siemens,150,2020-11-03,Active
EQ-00442,17,Inverter,Sungrow,125,2021-01-09,Active
EQ-00443,17,Inverter,Schneider,50,2022-10-11,Active
EQ-00444,17,Inverter,GE,150,2020-03-26,Active
EQ-00445,17,Inverter,Huawei,75,2021-03-02,Active
EQ-00446,17,Inverter,Sungrow,75,2023-03-14,Active
EQ-00447,17,Inverter,Hitachi,50,2021-08-10,Active
EQ-00448,17,Inverter,Huawei,125,2022-03-11,Active
