Fault_ID,Timestamp,Plant_ID,Equipment_ID,Fault_Type,Severity,Response_Time_Min,Resolution_Time,Downtime_Min,Energy_Loss_kWh,Cost_Loss_USD
74,2025-06-26 08:45:00,9,EQ-00227,DC Fault,High,26,2025-06-26 13:02:00,257,208.05,32.96
75,2025-08-13 06:00:00,1,EQ-00023,Communication Loss,Medium,26,2025-08-13 09:35:00,215,53.45,8.44
76,2025-09-05 20:45:00,13,EQ-00350,Under Voltage,Low,10,2025-09-06 02:17:00,332,407.76,35.41
77,2025-12-28 12:45:00,4,EQ-00083,Under Voltage,Low,48,2025-12-28 19:20:00,395,38.17,6.27
78,2025-09-06 12:15:00,11,EQ-00293,Breaker Trip,Medium,16,2025-09-06 16:58:00,283,214.84,31.49
79,2025-10-15 21:30:00,17,EQ-00447,Transformer Overheating,Critical,34,2025-10-16 01:20:00,230,98.94,11.45
80,2025-04-16 13:45:00,20,EQ-00533,Grid Outage,Medium,7,2025-04-16 20:07:00,382,442.25,35.9
81,2025-02-28 04:30:00,12,EQ-00300,Under Voltage,Low,50,2025-02-28 11:58:00,448,352.2,34.76
82,2025-07-24 02:00:00,11,EQ-00291,Communication Loss,Medium,15,2025-07-24 03:43:00,103,478.27,59.93
83,2025-09-08 18:15:00,14,EQ-00359,Communication Loss,Medium,17,2025-09-08 23:52:00,337,137.52,18.94
84,2025-07-15 20:30:00,17,EQ-00451,Transformer Overheating,Critical,32,2025-07-15 22:25:00,115,270.26,47.7
85,2025-09-24 14:15:00,3,EQ-00058,Over Voltage,Low,22,2025-09-24 16:06:00,111,316.2,27.62
86,2025-05-03 00:45:00,7,EQ-00178,AC Fault,Low,46,2025-05-03 05:39:00,294,366.32,29.68
87,2025-06-11 04:45:00,2,EQ-00050,Low Irradiance,Medium,11,2025-06-11 10:24:00,339,363.36,64.31
88,2025-05-19 11:45:00,18,EQ-00486,Grid Outage,Medium,53,2025-05-19 14:20:00,155,485.11,65.52
89,2025-10-26 01:45:00,13,EQ-00330,Breaker Trip,High,32,2025-10-26 03:32:00,107,281.01,46.96
90,2025-02-15 10:30:00,6,EQ-00154,Communication Loss,Low,22,2025-02-15 17:43:00,433,26.73,3.25
91,2025-09-18 23:45:00,4,EQ-00093,Transformer Overheating,High,6,2025-09-19 06:40:00,415,465.67,38.03
92,2025-03-28 16:45:00,20,EQ-00514,Transformer Overheating,High,59,2025-03-28 22:43:00,358,23.79,2.45
93,2025-06-24 06:45:00,9,EQ-00220,Grid Outage,Low,35,2025-06-24 09:39:00,174,334.8,44.58
94,2025-12-01 13:45:00,19,EQ-00495,Grid Outage,High,18,2025-12-01 21:07:00,442,68.03,7.39
95,2025-03-14 03:15:00,17,EQ-00449,Over Voltage,High,30,2025-03-14 07:12:00,237,256.58,25.35
96,2025-06-21 22:45:00,5,EQ-00118,DC Fault,Low,33,2025-06-22 01:18:00,153,130.86,11.08
97,2025-12-22 04:30:00,16,EQ-00431,Over Voltage,High,43,2025-12-22 09:04:00,274,262.24,38.42
98,2025-05-19 01:15:00,3,EQ-00073,Communication Loss,Low,31,2025-05-19 08:39:00,444,97.37,11.33
99,2025-04-09 22:45:00,12,EQ-00316,Low Irradiance,Low,28,2025-04-10 01:59:00,194,81.28,9.69
100,2025-03-22 21:00:00,3,EQ-00058,Low Irradiance,Low,42,2025-03-22 23:39:00,159,457.58,51.59
101,2025-03-02 14:00:00,4,EQ-00087,Over Voltage,Medium,55,2025-03-02 18:55:00,295,306.39,43.86
102,2025-10-26 00:45:00,14,EQ-00357,Low Irradiance,High,12,2025-10-26 05:21:00,276,190.9,30.54
103,2025-02-01 02:00:00,11,EQ-00288,Over Voltage,High,57,2025-02-01 08:07:00,367,61.29,8.91
104,2025-06-23 23:00:00,5,EQ-00134,AC Fault,Low,8,2025-06-24 00:40:00,100,79.93,11.1
105,2025-08-30 18:30:00,5,EQ-00119,Breaker Trip,Low,32,2025-08-30 20:09:00,99,390.01,61.69
106,2025-06-10 23:00:00,14,EQ-00370,Low Irradiance,Low,48,2025-06-11 05:07:00,367,395.14,58.74
107,2025-12-10 11:00:00,1,EQ-00002,Communication Loss,Low,44,2025-12-10 15:50:00,290,41.26,4.12
108,2025-09-26 12:00:00,7,EQ-00178,DC Fault,Low,17,2025-09-26 17:28:00,328,496.47,80.23
109,2025-12-23 09:30:00,18,EQ-00465,Inverter Failure,Low,11,2025-12-23 11:52:00,142,29.84,4.23
110,2025-11-30 12:00:00,14,EQ-00360,Inverter Failure,Medium,17,2025-11-30 15:12:00,192,495.36,67.89
111,2025-10-25 07:30:00,4,EQ-00106,Communication Loss,Low,56,2025-10-25 13:05:00,335,312.79,44.55
112,2025-08-29 10:00:00,18,EQ-00464,AC Fault,High,10,2025-08-29 13:57:00,237,24.98,3.69
113,2025-12-26 07:45:00,2,EQ-00051,Over Voltage,Low,45,2025-12-26 14:50:00,425,379.68,45.2
114,2025-03-14 03:30:00,10,EQ-00254,DC Fault,Medium,47,2025-03-14 10:23:00,413,87.48,11.41
115,2025-09-12 18:45:00,7,EQ-00171,DC Fault,Medium,33,2025-09-12 22:45:00,240,122.49,17.98
116,2025-12-24 21:00:00,9,EQ-00221,Grid Outage,Low,15,2025-12-24 23:54:00,174,375.18,47.48
117,2025-06-15 10:15:00,6,EQ-00140,Communication Loss,Medium,30,2025-06-15 15:58:00,343,126.79,13.41
118,2025-05-24 10:15:00,8,EQ-00201,Under Voltage,Low,38,2025-05-24 17:47:00,452,313.98,55.63
119,2025-07-13 23:15:00,16,EQ-00428,Inverter Failure,Medium,54,2025-07-14 02:48:00,213,281.58,23.09
120,2025-07-10 21:15:00,14,EQ-00373,Under Voltage,Medium,27,2025-07-11 02:53:00,338,74.84,10.61
121,2025-02-28 19:45:00,18,EQ-00476,Low Irradiance,Medium,51,2025-02-28 23:31:00,226,375.31,48.8
122,2025-06-23 03:15:00,11,EQ-00288,Grid Outage,Medium,36,2025-06-23 04:00:00,45,155.0,15.43
123,2025-02-15 01:45:00,19,EQ-00505,Grid Outage,High,21,2025-02-15 05:12:00,207,347.47,28.44
124,2025-11-09 18:45:00,4,EQ-00089,Grid Outage,Low,55,2025-11-09 20:05:00,80,217.22,38.35
125,2025-12-06 16:45:00,19,EQ-00488,Transformer Overheating,High,5,2025-12-06 20:14:00,209,84.63,10.42
126,2025-02-24 10:30:00,14,EQ-00352,Breaker Trip,Low,53,2025-02-24 15:33:00,303,373.77,65.2
127,2025-03-11 05:00:00,11,EQ-00280,Grid Outage,Medium,9,2025-03-11 10:14:00,314,237.44,38.26
128,2025-03-06 02:30:00,7,EQ-00183,DC Fault,Medium,57,2025-03-06 08:08:00,338,75.14,8.03
129,2025-04-09 05:30:00,7,EQ-00166,Inverter Failure,Low,42,2025-04-09 11:48:00,378,245.54,39.53
130,2025-03-09 20:15:00,12,EQ-00322,Communication Loss,Low,36,2025-03-09 22:19:00,124,46.55,4.4
131,2025-12-30 09:15:00,5,EQ-00116,Grid Outage,Low,45,2025-12-30 12:14:00,179,353.36,61.03
132,2025-05-19 22:45:00,20,EQ-00531,Breaker Trip,Medium,10,2025-05-19 23:10:00,25,361.59,43.23
133,2025-05-19 22:45:00,17,EQ-00438,Breaker Trip,Low,57,2025-05-20 04:40:00,355,352.11,60.86
134,2025-10-09 17:00:00,1,EQ-00027,AC Fault,Medium,58,2025-10-09 21:12:00,252,329.7,48.85
135,2025-07-02 07:00:00,12,EQ-00306,DC Fault,Low,31,2025-07-02 13:23:00,383,358.57,39.11
136,2025-07-09 21:00:00,8,EQ-00207,Communication Loss,Low,36,2025-07-10 03:06:00,366,365.45,30.09
137,2025-11-05 00:45:00,18,EQ-00483,Low Irradiance,Low,21,2025-11-05 05:23:00,278,368.82,56.02
138,2025-11-04 19:15:00,5,EQ-00121,Over Voltage,Medium,23,2025-11-04 20:35:00,80,431.74,45.2
139,2025-07-17 21:15:00,8,EQ-00215,Over Voltage,Low,13,2025-07-17 23:59:00,164,124.81,19.41
140,2025-04-11 20:45:00,12,EQ-00319,Inverter Failure,Medium,42,2025-04-11 23:29:00,164,189.06,31.57
141,2025-10-07 15:30:00,2,EQ-00049,AC Fault,High,7,2025-10-07 23:15:00,465,450.89,76.08
142,2025-06-19 07:00:00,4,EQ-00103,AC Fault,Low,6,2025-06-19 08:36:00,96,233.55,27.62
143,2025-03-02 17:15:00,9,EQ-00222,AC Fault,Low,6,2025-03-02 22:15:00,300,32.51,5.6
144,2025-10-20 14:00:00,19,EQ-00510,Breaker Trip,Medium,13,2025-10-20 16:45:00,165,315.07,33.63
145,2025-02-16 16:30:00,19,EQ-00488,Inverter Failure,Low,9,2025-02-16 22:48:00,378,319.25,37.59
146,2025-02-21 19:45:00,3,EQ-00066,Over Voltage,Medium,25,2025-02-22 01:01:00,316,277.53,26.85
147,2025-03-16 07:45:00,13,EQ-00337,Over Voltage,Medium,51,2025-03-16 10:48:00,183,212.59,32.76
148,2025-12-26 19:15:00,6,EQ-00161,Grid Outage,Critical,19,2025-12-26 20:04:00,49,242.32,38.24
149,2025-08-17 18:00:00,20,EQ-00534,Grid Outage,Low,35,2025-08-17 18:33:00,33,295.24,49.92
150,2025-09-08 13:15:00,11,EQ-00277,Low Irradiance,High,10,2025-09-08 20:30:00,435,92.09,14.88
151,2025-08-04 14:45:00,12,EQ-00319,Under Voltage,Low,24,2025-08-04 21:42:00,417,421.97,52.79
152,2025-05-24 03:45:00,20,EQ-00540,AC Fault,Low,51,2025-05-24 06:59:00,194,352.73,61.43
153,2025-09-18 07:00:00,14,EQ-00357,Low Irradiance,Medium,5,2025-09-18 08:29:00,89,297.34,27.44
154,2025-03-01 14:15:00,17,EQ-00447,DC Fault,Medium,54,2025-03-01 21:13:00,418,398.32,42.45
155,2025-06-27 23:00:00,7,EQ-00173,DC Fault,Medium,36,2025-06-28 06:15:00,435,98.71,9.79
156,2025-11-16 11:30:00,18,EQ-00468,Breaker Trip,Medium,20,2025-11-16 17:58:00,388,66.85,9.13
157,2025-10-13 00:00:00,18,EQ-00485,AC Fault,High,53,2025-10-13 03:16:00,196,282.51,31.76
158,2025-12-18 17:30:00,9,EQ-00240,Low Irradiance,Low,28,2025-12-18 21:34:00,244,416.32,37.61
159,2025-10-16 23:15:00,14,EQ-00352,Inverter Failure,Medium,12,2025-10-17 02:31:00,196,61.7,10.06
160,2025-06-19 06:15:00,6,EQ-00140,Over Voltage,High,42,2025-06-19 10:02:00,227,73.73,7.44
161,2025-10-22 18:30:00,5,EQ-00111,Transformer Overheating,Medium,31,2025-10-23 00:22:00,352,418.58,51.75
162,2025-09-20 19:00:00,5,EQ-00116,Over Voltage,Low,8,2025-09-20 23:40:00,280,415.04,61.88
163,2025-02-17 03:30:00,2,EQ-00030,Inverter Failure,Medium,13,2025-02-17 10:33:00,423,136.93,16.2
164,2025-07-30 21:00:00,15,EQ-00391,Inverter Failure,Medium,57,2025-07-30 21:36:00,36,406.39,46.81
165,2025-03-30 09:15:00,5,EQ-00117,Over Voltage,High,6,2025-03-30 17:13:00,478,48.4,8.54
166,2025-07-01 12:15:00,19,EQ-00512,Inverter Failure,High,26,2025-07-01 13:53:00,98,120.41,20.81
167,2025-07-29 15:15:00,3,EQ-00063,Communication Loss,Low,36,2025-07-29 18:17:00,182,458.06,72.29
168,2025-09-15 01:30:00,2,EQ-00044,DC Fault,Medium,55,2025-09-15 03:46:00,136,196.83,25.99
169,2025-09-07 16:30:00,7,EQ-00176,Grid Outage,High,44,2025-09-07 21:02:00,272,194.66,17.87
170,2025-06-16 02:15:00,20,EQ-00533,Inverter Failure,Low,59,2025-06-16 05:00:00,165,80.7,14.37
171,2025-12-13 17:30:00,18,EQ-00484,Low Irradiance,Medium,21,2025-12-13 17:58:00,28,149.37,26.19
172,2025-09-29 19:45:00,6,EQ-00154,AC Fault,High,59,2025-09-29 23:29:00,224,341.69,51.53
173,2025-09-05 13:00:00,5,EQ-00133,Breaker Trip,Medium,21,2025-09-05 14:13:00,73,146.94,17.86
174,2025-10-06 04:00:00,19,EQ-00487,Under Voltage,Low,36,2025-10-06 08:23:00,263,280.71,50.1
175,2025-02-05 10:15:00,8,EQ-00204,Over Voltage,Critical,56,2025-02-05 15:06:00,291,432.32,59.8
176,2025-03-17 23:45:00,17,EQ-00435,Under Voltage,High,21,2025-03-18 00:45:00,60,119.26,12.88
177,2025-08-25 19:15:00,5,EQ-00134,AC Fault,Medium,30,2025-08-25 22:26:00,191,215.79,35.91
178,2025-09-02 13:00:00,12,EQ-00302,Under Voltage,Low,29,2025-09-02 20:31:00,451,323.73,53.73
179,2025-08-10 14:15:00,8,EQ-00204,Breaker Trip,High,22,2025-08-10 22:12:00,477,326.96,33.48
180,2025-06-04 02:45:00,8,EQ-00214,DC Fault,High,30,2025-06-04 08:22:00,337,270.65,22.84
181,2025-06-15 07:30:00,18,EQ-00461,AC Fault,Low,27,2025-06-15 13:50:00,380,444.21,70.93
182,2025-04-25 08:15:00,10,EQ-00259,Under Voltage,High,43,2025-04-25 13:13:00,298,460.15,44.87
183,2025-02-10 19:30:00,17,EQ-00444,Low Irradiance,Medium,31,2025-02-10 23:10:00,220,131.78,14.82
184,2025-04-08 07:00:00,17,EQ-00457,DC Fault,Medium,24,2025-04-08 10:51:00,231,387.64,32.69
185,2025-10-19 00:30:00,11,EQ-00292,Transformer Overheating,Low,22,2025-10-19 07:55:00,445,404.46,57.49
186,2025-07-12 04:30:00,19,EQ-00504,Grid Outage,Medium,37,2025-07-12 07:06:00,156,257.09,23.5
187,2025-08-16 17:45:00,16,EQ-00408,AC Fault,High,40,2025-08-16 23:49:00,364,222.96,21.22
188,2025-05-20 02:00:00,11,EQ-00296,Under Voltage,Low,44,2025-05-20 02:55:00,55,292.45,25.53
189,2025-10-16 22:45:00,6,EQ-00136,Transformer Overheating,Low,49,2025-10-17 02:19:00,214,418.89,67.29
190,2025-02-21 02:30:00,11,EQ-00282,DC Fault,Critical,42,2025-02-21 09:38:00,428,115.5,18.95
191,2025-11-13 13:45:00,2,EQ-00045,Transformer Overheating,Medium,19,2025-11-13 17:03:00,198,427.5,37.84
192,2025-10-25 11:45:00,10,EQ-00266,Low Irradiance,Low,41,2025-10-25 15:14:00,209,60.95,9.41
193,2025-03-11 23:00:00,10,EQ-00258,DC Fault,High,27,2025-03-11 23:30:00,30,21.57,2.36
194,2025-11-21 20:15:00,8,EQ-00200,AC Fault,Medium,16,2025-11-21 23:53:00,218,175.94,14.16
195,2025-02-25 16:45:00,18,EQ-00460,Breaker Trip,High,12,2025-02-26 00:27:00,462,192.51,16.35
196,2025-04-17 14:15:00,19,EQ-00510,Over Voltage,High,24,2025-04-17 16:10:00,115,392.54,54.54
197,2025-10-20 10:00:00,20,EQ-00537,AC Fault,Low,16,2025-10-20 10:43:00,43,344.0,27.77
198,2025-11-30 15:15:00,4,EQ-00083,Grid Outage,Medium,20,2025-11-30 19:20:00,245,390.02,47.71
199,2025-03-20 02:30:00,16,EQ-00417,Over Voltage,Low,8,2025-03-20 05:05:00,155,334.38,45.95
200,2025-05-28 16:00:00,3,EQ-00070,Inverter Failure,Medium,6,2025-05-28 17:17:00,77,161.38,26.92
201,2025-08-24 12:45:00,13,EQ-00334,Low Irradiance,Low,17,2025-08-24 19:28:00,403,377.0,50.3
202,2025-11-01 23:45:00,9,EQ-00243,DC Fault,Low,40,2025-11-02 00:45:00,60,469.15,52.74
203,2025-08-02 15:30:00,14,EQ-00364,DC Fault,Critical,48,2025-08-02 19:00:00,210,397.08,57.79
204,2025-07-07 02:45:00,9,EQ-00226,Under Voltage,Low,56,2025-07-07 06:43:00,238,211.64,31.47
205,2025-04-26 19:45:00,13,EQ-00345,Grid Outage,High,25,2025-04-27 00:45:00,300,471.84,52.6
206,2025-12-19 04:45:00,7,EQ-00171,Transformer Overheating,High,32,2025-12-19 09:23:00,278,495.85,44.98
207,2025-05-03 19:00:00,20,EQ-00514,Under Voltage,High,47,2025-05-04 01:17:00,377,252.65,45.2
208,2025-08-14 07:45:00,17,EQ-00436,Low Irradiance,Medium,29,2025-08-14 13:26:00,341,279.89,30.44
209,2025-02-13 00:30:00,8,EQ-00193,Grid Outage,Medium,27,2025-02-13 06:22:00,352,141.19,21.32
210,2025-09-22 14:15:00,8,EQ-00205,Grid Outage,Low,34,2025-09-22 15:04:00,49,144.29,18.71
211,2025-10-05 13:15:00,11,EQ-00281,DC Fault,Low,54,2025-10-05 14:45:00,90,70.87,11.15
212,2025-09-01 01:30:00,19,EQ-00492,Transformer Overheating,Medium,56,2025-09-01 02:08:00,38,362.77,59.43
213,2025-10-14 11:30:00,17,EQ-00442,AC Fault,Medium,13,2025-10-14 18:38:00,428,47.86,4.35
214,2025-10-28 10:45:00,3,EQ-00063,Inverter Failure,High,25,2025-10-28 11:11:00,26,150.81,17.78
215,2025-11-23 05:15:00,6,EQ-00137,DC Fault,Low,9,2025-11-23 06:43:00,88,127.99,19.05
216,2025-01-13 04:45:00,1,EQ-00001,Over Voltage,Low,56,2025-01-13 05:20:00,35,146.67,26.18
217,2025-05-16 18:45:00,1,EQ-00005,Over Voltage,Medium,36,2025-05-17 00:23:00,338,411.73,60.69
218,2025-12-09 21:15:00,16,EQ-00413,Low Irradiance,Medium,55,2025-12-10 00:49:00,214,188.35,30.13
219,2025-01-09 19:15:00,14,EQ-00369,DC Fault,Low,19,2025-01-09 23:22:00,247,42.54,5.02
220,2025-08-15 23:00:00,6,EQ-00140,Communication Loss,Medium,24,2025-08-16 01:47:00,167,124.58,12.66
221,2025-07-26 03:15:00,3,EQ-00062,DC Fault,Low,19,2025-07-26 09:50:00,395,245.46,41.42
222,2025-06-27 14:00:00,12,EQ-00318,Under Voltage,High,33,2025-06-27 17:36:00,216,357.72,39.64
223,2025-01-01 05:00:00,10,EQ-00245,Over Voltage,High,43,2025-01-01 11:42:00,402,174.35,15.5
224,2025-06-01 12:00:00,6,EQ-00139,Transformer Overheating,High,54,2025-06-01 15:20:00,200,48.54,4.59
225,2025-10-09 12:30:00,18,EQ-00473,AC Fault,Medium,38,2025-10-09 15:57:00,207,357.18,30.91
226,2025-05-28 00:30:00,2,EQ-00045,Breaker Trip,High,23,2025-05-28 02:43:00,133,298.98,50.44
227,2025-01-31 06:30:00,1,EQ-00009,Over Voltage,Low,16,2025-01-31 12:30:00,360,403.41,71.24
228,2025-04-19 17:45:00,10,EQ-00245,Communication Loss,Low,30,2025-04-19 19:01:00,76,152.18,18.79
229,2025-03-26 17:00:00,1,EQ-00022,Grid Outage,Medium,15,2025-03-26 22:29:00,329,25.24,3.95
230,2025-07-23 10:45:00,7,EQ-00180,Low Irradiance,Low,55,2025-07-23 16:14:00,329,31.25,3.25
231,2025-11-24 10:15:00,11,EQ-00278,Transformer Overheating,Low,57,2025-11-24 14:19:00,244,237.2,24.03
232,2025-11-05 09:00:00,9,EQ-00220,AC Fault,Low,18,2025-11-05 13:23:00,263,436.56,41.56
233,2025-01-08 10:45:00,2,EQ-00032,Grid Outage,High,53,2025-01-08 15:55:00,310,419.77,36.09
